Region,Group,FA,ICVF,ISOVF,MD,MT,OD,R1,R2*,g-ratio,Age mean,Age SD,Age min,Age max,% Female
NAWM_DWM_frontal,NAWM,320,320,320,320,324,320,324,324,320,53.564197530864206,22.303459233520126,19.77,92.51,50.308641975308646
NAWM_DWM_parietal,NAWM,276,276,276,276,279,276,279,279,276,50.55304659498208,22.148786503160153,19.77,88.69,45.878136200716845
NAWM_DWM_temporal,NAWM,30,30,30,30,30,30,30,30,30,32.73033333333333,12.869386954113729,20.06,72.73,36.666666666666664
NAWM_PVWM_frontal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_occipital,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_parietal,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_temporal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_frontal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_occipital,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_parietal,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_temporal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
WMH_DWM_frontal,WMH,17,17,17,17,17,17,17,17,17,75.88823529411764,7.031890068905835,65.38,88.69,41.17647058823529
WMH_DWM_parietal,WMH,20,20,20,20,20,20,20,20,20,73.5605,15.92225799743372,29.06,88.69,40.0
WMH_PVWM_frontal,WMH,251,251,251,251,255,251,255,255,251,64.88403921568627,17.968790215523125,20.18,92.51,50.588235294117645
WMH_PVWM_occipital,WMH,258,258,258,258,262,258,262,262,258,61.586832061068705,20.25222584338658,19.77,92.51,50.0
WMH_PVWM_parietal,WMH,235,235,235,235,239,235,239,239,235,66.12523012552302,17.09675975029844,19.78,92.51,51.88284518828452
WMH_PVWM_temporal,WMH,152,152,152,152,154,152,154,154,152,73.57162337662339,8.83241241746159,26.88,92.51,54.54545454545454
WMH_SWM_frontal,WMH,240,240,240,240,244,240,244,244,240,65.48168032786886,17.614492117453327,20.18,92.51,52.04918032786885
WMH_SWM_occipital,WMH,209,209,209,209,213,209,213,213,209,63.113521126760574,19.39578658037579,19.77,88.69,52.112676056338024
WMH_SWM_parietal,WMH,195,195,195,195,199,195,199,199,195,69.80793969849248,13.890480399673695,20.12,92.51,53.768844221105525
WMH_SWM_temporal,WMH,76,76,76,76,78,76,78,78,76,75.1351282051282,9.850145986602227,26.88,92.51,56.41025641025641
